,en,nl,it,de,es,pl,cs,fr,el,ro,pt
,English,Dutch,Italian,German,Spanish,Polish,Czech,French,Greek,Romanian,Portuguese
,Language name in native,Nederlands,Italiano,Deutsch,Español,polski,Česky,français,Ελληνικά,Română,Português
Section texts – News,,,,,,,,,,,
,News,Nieuws,News,Aktuelles,Noticias,Wiadomości,Novinky,Actualités,Νέα ,Noutăţi,Notícias
,Latest updates about Space Awareness,,,,,,,,,,
Section texts – Careers,,,,,,,,,,,
,Careers,Carrières,Professioni,Berufliche Perspektiven,Profesiones,Kariery,Profese,Métiers,Επαγγέλματα,Profesii,Carreiras
,Discover space careers,Ontdek RuimteCarrières,Scopri lo spazio Professioni,Berufe in der Weltraumforschung entdecken,Estas son las profesiones espaciales,Poznaj kosmiczne kariery,Objevte povolání spojená se zkoumáním vesmíru,Découvrir les métiers de l’espace,Ανακαλύψτε τα Επαγγέλματα του Διαστήματος,Descoperă profesii spaţiale,Descobrir Carreiras no Espaço
,Become a space explorer,,,,,,,,,,
,Aiming for the stars? See how you can contribute to space science and exploration.,Richten op de sterren? Zie hoe jij kunt bijdragen aan ruimtewetenschap en -verkenning.,Punti alle stelle? Guarda come puoi contribuire allo studio e all’esplorazione dello spazio.,"Interessieren Sie sich für die Sterne? Informieren Sie sich, wie Sie zur Weltraumforschung beitragen können.",¿Aspiras a alcanzar las estrellas? Aquí te mostramos qué puedes hacer por la ciencia y la investigación espacial.,"Mierzysz w gwiazdy? Zobacz, jak można wnieść wkład do nauk o kosmosie i jego eksploracji.","Míříte ke hvězdám? Podívejte se, jakým způsobem se můžete podílet na vědeckém zkoumání a poznávání vesmíru.",Tu rêves d’aller un jour dans les étoiles ? Vois de quelle manière tu peux contribuer à la science et à l’exploration de l’espace.,Στοχεύετε στ' αστέρια; Μάθετε πώς μπορείτε να συνεισφέρετε στην επιστήμη του διαστήματος και την εξερεύνησή του.,Visezi să ajungi printre stele? Află cum poţi contribui la studiul şi explorarea spaţiului.,Com a mira nas estrelas? Saiba como pode contribuir para a ciência e a exploração do espaço.
Section texts – Scoops,,,,,,,,,,,
,Read,Lees,Leggi,Lesen,Leer,Czytaj,Přečtěte si,Lire ,Διαβάστε,Citeşte,Ler
,Read Space Scoops,Lees Space Scoops,Leggi Scoop spaziali,Space Scoops lesen,Lee Space Scoops,Czytaj Kosmiczne nowinki,Přečtěte si Sólokapry z vesmíru,Lire les Space Scoop,Διαβάστε Αποκλειστικές Ειδήσεις από το Διάστημα,Citeşte Space Scoops,Ler Space Scoop
,News from across the Universe,Nieuws uit het heelal,News da tutto l’universo,Nachrichten aus dem Weltall,Noticas de todo el universo,Wiadomości ze Wszechświata,Zprávy z celého vesmíru,Des nouvelles des quatre coins de l’Univers,Νέα από ολόκληρο το Σύμπαν,Noutăţi din cele patru colţuri ale universului,Notícias de todo o Universo
,The latest discoveries about the Universe.,De nieuwste ontdekkingen over het heelal.,Le ultime scoperte sull’universo.,Die neuesten Entdeckungen über das Universum,Los últimos descubrimientos sobre el universo.,Najnowsze odkrycia dotyczące Wszechświata.,Nejnovější objevy ve vesmíru.,Les dernières découvertes sur l’Univers.,Οι πιο πρόσφατες ανακαλύψεις για το Σύμπαν.,Ultimele descoperiri despre univers,As mais recentes descobertas sobre o Universo.
Section texts – Games,,,,,,,,,,,
,Participate,Doe mee                     ,Partecipa ,Teilnehmen                     ,Participar                     ,Bierz udział                     ,Zapojte se                     ,Participer                     ,Πάρτε μέρος                     ,Participă                     ,Participar                     
,Play & participate,Speel en Doe mee,Gioca e partecipa,Spielen und teilnehmen,Juega y participa,Graj i bierz udział,Hrajte a zapojte se,Jouer et participer,Παίξτε και Πάρτε Μέρος,Joacă-te şi participă,Jogar e Participar
,Apps and projects for space exploration,Apps en projecten voor ruimteverkenning,App e progetti per l’esplorazione dello spazio,Apps und Projekte für die Erforschung des Weltraums,Aplicaciones y proyectos para explorar el espacio,Aplikacje i projekty dotyczące eksploracji kosmosu,Aplikace a projekty zaměřené na výzkum vesmíru,Des applis et des projets pour l’exploration spatiale,Εφαρμογές και προγράμματα για την εξερεύνηση του διαστήματος,Aplicaţii şi proiecte pentru explorarea spaţiului,Aplicações e projetos para a exploração do espaço
,Some great apps and projects to take part in real research programmes.,Enkele geweldige apps en projecten om mee te doen aan echte onderzoeksprogramma’s.,Alcune app e progetti interessanti per partecipare a veri programmi di ricerca.,Tolle Apps und Projekte zur Teilnahme an realen Forschungsprogrammen,Fantásticas aplicaciones y proyectos que te invitan a formar parte de los programas de la investigación real.,"Parę świetnych aplikacji i projektów, które pozwalają wziąć udział w prawdziwych programach badawczych.","Několik výborných aplikací a projektů, v nichž se můžete zapojit do skutečných výzkumných programů.","Des applis et des projets géniaux, pour participer à de vrais programmes de recherche.",Ορισμένες εξαιρετικές εφαρμογές και προγράμματα για να πάρετε μέρος σε πραγματικά ερευνητικά προγράμματα.,"Aplicaţii şi proiecte interesante, care îţi permit să participi la programe de cercetare autentice",Algumas aplicações e projetos fantásticos para participar em programas de investigação reais.
Section texts – Activities,,,,,,,,,,,
,Educate,Onderwijzen,Educa,Bilden,Formar,Edukuj,Vzdělávejte,Éduquer,Εκπαιδεύστε,Educă,Educar
,Educate & inspire,Onderwijzen en inspireren ,Educa e ispira ,Bilden und inspirieren ,Forma y motiva ,Edukuj i inspiruj ,Vzdělávejte a inspirujte,Éduquer et donner envie ,Εκπαιδεύστε και εμπνεύστε ,Educă şi motivează ,Educar e inspirar 
,Peer-reviewed educational activities,COLLEGIAAL GETOETSTE EDUCATIEVE ACTIVITEITEN,ATTIVITÀ DIDATTICHE PEER-REVIEWED,VON EXPERTEN GEPRÜFTE BILDUNGSAKTIVITÄTEN,ACTIVIDADES EDUCATIVAS REVISADAS POR EXPERTOS,ZAJĘCIA EDUKACYJNE RECENZOWANE WG PROCEDUR NAUKOWYCH,VZDĚLÁVACÍ AKTIVITY OVĚŘENÉ PEDAGOGY V PRAXI,ACTIVITÉS ÉDUCATIVES SOUMISES À L’AVIS DES PAIRS,ΕΛΕΓΜΕΝΕΣ ΕΚΠΑΙΔΕΥΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ,ACTIVITĂŢI EDUCAŢIONALE RECENZATE,ATIVIDADES EDUCATIVAS REVISTAS POR ESPECIALISTAS
,Some of the best resources for educators about space.,Enkele van de beste middelen voor educatoren over de ruimte.,Alcune delle migliori risorse per gli educatori sul tema dello spazio.,Einige der besten Ressourcen für Pädagogen über den Weltraum,Alguno de los mejores materiales que pueden utilizar los profesores para sus clases sobre el espacio.,Parę najlepszych zasobów o kosmosie dla nauczycieli.,Výběr z nejlepších zdrojů materiálů zaměřených na tematiku vesmíru pro pedagogy,Certaines des meilleures ressources éducatives sur l’espace.,Ορισμένοι από τους καλύτερους πόρους σχετικά με το διάστημα για παιδαγωγούς.,Unele dintre cele mai bune resurse didactice despre spaţiu,Alguns dos melhores recursos para educadores sobre o espaço.
Section texts – Skills,,,,,,,,,,,
,Develop,Ontwikkel,Sviluppa,Entwickeln,Mejorar conocimientos,Rozwijaj,Rozvíjejte,Développer ,Αναπτύξτε,Dezvoltă-te,Desenvolver
,Develop teaching skills,Ontwikkel onderwijsvaardigheden,Sviluppa competenze didattiche,Unterrichtskompetenzen entwickeln,Mejora tus dotes de profesor,Rozwijaj umiejętności nauczania,Rozvíjejte své pedagogické dovednosti,Acquérir des compétences d’enseignement,Αναπτύξτε δεξιότητες διδασκαλίας,Dobândeşte competenţe didactice,Desenvolver competências de ensino
,Bringing space to education,,,,,,,,,,
